name,address,date,time,website,maps_url,maps_url_check
Flagship Tavern & Grill,"1622 W Belmont Ave, Chicago, IL 60657",May 21,4:00 PM,http://www.flagshipchicago.com/_/HOME.html,"https://www.google.com/maps/place/Flagship+Tavern+%26+Grill/@41.9398843,-87.6718236,17z/data=!3m1!4b1!4m5!3m4!1s0x880fd2599156d8b7:0xe9d1e856733d0a65!8m2!3d41.9398843!4d-87.6696349",good
Leader Bar & Grill,"3000 W Irving Park Rd, Chicago, IL 60618",May 21,12:00 PM,http://www.leaderbar.com,"https://www.google.com/maps/place/Leader+Bar/@41.9541304,-87.7054877,17z/data=!3m1!4b1!4m5!3m4!1s0x880fcd8c8e61dc8f:0xf8bafb82d461b080!8m2!3d41.9541264!4d-87.703299",good
Park & Field,"3509 W Fullerton Ave, Chicago, IL 60647",May 21,6:00 PM,http://parkandfieldchicago.com/,"https://www.google.com/maps/place/Park+%26+Field/@41.9242503,-87.7164975,17z/data=!3m1!4b1!4m5!3m4!1s0x880fcd6c52d31c43:0x30f8866c2b438bfa!8m2!3d41.9242503!4d-87.7143088",good
The Carousel,"522 E Jericho Turnpike, Huntington Station, NY 11746",May 25,5:00 PM,http://carousellongisland.com/,"https://www.google.com/maps/place/The+Carousel+Night+Club/@40.8320607,-73.3940226,17z/data=!4m12!1m6!3m5!1s0x89e828de7bf04dcf:0xdbd9cdf10ab6a5c7!2sThe+Carousel+Night+Club!8m2!3d40.8320607!4d-73.3918339!3m4!1s0x89e828de7bf04dcf:0xdbd9cdf10ab6a5c7!8m2!3d40.8320607!4d-73.3918339",good
New Moon Cafe,"524 Montauk Hwy, East Quogue, NY 11942",May 26,6-9 PM,https://www.newmooncafeeq.com/menu,"https://www.google.com/maps/place/New+Moon+Cafe/@40.8429485,-72.5816387,17z/data=!3m1!4b1!4m5!3m4!1s0x89e8f3b81ed05bef:0x75bb973ae155d7c4!8m2!3d40.8429485!4d-72.57945",good
Plum Lounge,"780 N Jefferson St, Milwaukee, WI 53202",May 26,1:30PM - 12AM,http://plumlounge.com/,"https://www.google.com/maps/place/Plum+Lounge/@43.040739,-87.9053031,15z/data=!4m5!3m4!1s0x0:0x7ccfe42f880049d2!8m2!3d43.040739!4d-87.9053031",good
Indian Wells Tavern,"177 Main St, Amagansett, NY 11930",May 27,6-9 PM,http://www.indianwellstavern.com/,"https://www.google.com/maps/place/Indian+Wells+Tavern/@40.9751148,-72.1440755,17z/data=!3m1!4b1!4m5!3m4!1s0x89e8baa75c2aec63:0xe3b1c024b18c4692!8m2!3d40.9751148!4d-72.1418868",good
Dugout 54,"5328 W Bluemound Rd, Milwaukee, WI 53208",May 27,12PM - 2 PM,https://dugout54.com/,"https://www.google.com/maps/place/Dugout+54/@43.0368699,-87.982904,17z/data=!3m1!4b1!4m5!3m4!1s0x88051afc92956b7f:0xc0a035c53fedae5!8m2!3d43.036866!4d-87.98071",good
Dalmatia Hotel,"1187 Tonawanda St, Tonawanda, NY 14207",May 27,6-8 PM,https://www.facebook.com/TheDalmatiaHotelitsnotahotel/,"https://www.google.com/maps/place/Dalmatia+Hotel/@42.9602429,-78.9118277,17z/data=!3m1!4b1!4m5!3m4!1s0x89d36cbedd3f0f25:0x7229d38ce1d38b13!8m2!3d42.960239!4d-78.909639",good
Fortuna's Restaurant,"827 19th St, Niagara Falls, NY 14301",May 27,6-8 PM,http://www.fortunas.biz/,"https://www.google.com/maps/place/Fortuna%E2%80%99s+Restaurant+%26+Banquets/@43.0978365,-79.0407827,17z/data=!3m1!4b1!4m5!3m4!1s0x89d342b91f7683c5:0xf12133646d1cbbe9!8m2!3d43.0978365!4d-79.0385887",good
Soliday's Bar & Grille,"3964 Lockport Rd, Niagara Falls, NY 14305",May 27,6-8 PM,https://www.facebook.com/solidaysbarandgrille/,"https://www.google.com/maps/place/Soliday's+Bar+%26+Grille/@43.116122,-79.025487,15z/data=!4m12!1m6!3m5!1s0x0:0xc29ed144cf26886a!2sSoliday's+Bar+%26+Grille!8m2!3d43.116122!4d-79.025487!3m4!1s0x0:0xc29ed144cf26886a!8m2!3d43.116122!4d-79.025487",good
Swallow East,"474 W Lake Dr, Montauk, NY 11954",May 28,6-9 PM,https://www.swalloweastrestaurant.com/,"https://www.google.com/maps/place/Swallow+East/@41.0738808,-72.0084629,12z/data=!4m5!3m4!1s0x0:0x916cf7b7157bb487!8m2!3d41.0739!4d-71.9384336",good
Matiz Latin Cuisine,"110-72 Queens Blvd, Forest Hills, NY 11375",May 29,7-9 PM,http://matizlatincuisine.com/,"https://www.google.com/maps/place/Matiz+Latin+Cuisine/@40.718877,-73.8414104,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2609e6240b86d:0x3d1cc4077ca65533!8m2!3d40.718873!4d-73.8392217",good
Jagerhaus Gastropub & Biergarten,"15-16 149th St, Flushing, NY 11357",May 29,TBA,http://jagerhausnyc.com/about/,"https://www.google.com/maps/place/Jagerhaus+Gastropub+%26+Biergarten/@40.7866706,-73.8164869,15z/data=!4m12!1m6!3m5!1s0x0:0xed1d17da10686934!2sJ%C3%A4gerhaus+Gastropub+%26+Biergarten!8m2!3d40.7866706!4d-73.8164869!3m4!1s0x0:0xed1d17da10686934!8m2!3d40.7866706!4d-73.8164869",good
Jake's Steakhouse,"6031 Broadway, Bronx, NY 10471",TBA,TBA,http://www.jakessteakhouse.com/bronx,"https://www.google.com/maps/place/Jake’s+Steakhouse/@40.8917024,-73.8998772,17z/data=!3m1!4b1!4m5!3m4!1s0x89c2f3af9d7ddb31:0x5803cb113f5748f0!8m2!3d40.8917024!4d-73.8976885",good
San Diego Yacht Club,"1011 Anchorage Ln, San Diego, CA 92106",TBA,TBA,https://sdyc.org/,"https://www.google.com/maps/place/San+Diego+Yacht+Club/@32.7188882,-117.2317885,17.02z/data=!4m5!3m4!1s0x80deab9883524577:0xb32271e0380bbf75!8m2!3d32.7188262!4d-117.2295806",good
Greystone Prime Steakhouse & Seafood,"658 Fifth Ave, San Diego, CA 92101",TBA,TBA,http://www.greystonesteakhouse.com/,"https://www.google.com/maps/place/Greystone+Prime+Steakhouse+%26+Seafood/@32.7122876,-117.1625728,17z/data=!3m1!4b1!4m5!3m4!1s0x80d95359b55143bd:0x4dd367210ec8a52a!8m2!3d32.7122831!4d-117.1603788",good
